,Bib,Name,Age,M/F,City,State,Country,Citizen,Unnamed: 8,5K,10K,15K,20K,Half,25K,30K,35K,40K,Pace,Proj Time,Official Time,Overall,Gender,Division,year,Elevation,Times runned
0,,,,,,,,,,0:15:47,0:31:20,0:47:07,1:03:14,1:06:45,1:19:15,1:34:17,1:50:24,2:05:59,,,2:12:45,,,,,,
1,,,,,,,,,,0:15:47,0:31:21,0:47:08,1:03:14,1:06:46,1:19:15,1:34:17,1:50:24,2:05:59,,,2:13:32,,,,,,
2,,,,,,,,,,0:15:46,0:31:20,0:47:07,1:03:13,1:06:44,1:19:15,1:34:45,1:50:48,2:06:47,,,2:14:02,,,,,,
3,,,,,,,,,,0:15:46,0:31:21,0:47:07,1:03:14,1:06:46,1:19:16,1:34:45,1:50:48,2:06:47,,,2:14:05,,,,,,
4,,,,,,,,,,0:15:46,0:31:21,0:47:08,1:03:14,1:06:46,1:19:18,1:34:46,1:51:30,2:08:11,,,2:15:45,,,,,,
5,,,,,,,,,,0:15:46,0:31:21,0:47:08,1:03:14,1:06:46,1:19:17,1:35:03,1:52:19,2:09:07,,,2:16:43,,,,,,
6,,,,,,,,,,0:15:47,0:31:21,0:47:07,1:03:14,1:06:47,1:19:26,1:34:45,1:50:49,2:08:12,,,2:16:52,,,,,,
7,,,,,,,,,,0:15:47,0:31:21,0:47:08,1:03:15,1:06:47,1:19:16,1:34:52,1:51:24,2:08:38,,,2:18:05,,,,,,
8,,,,,,,,,,0:15:46,0:31:20,0:47:07,1:03:13,1:06:45,1:19:17,1:35:39,1:53:52,2:10:57,,,2:18:46,,,,,,
9,,,,,,,,,,0:16:03,0:32:08,0:48:14,1:04:25,1:07:57,1:20:38,1:37:26,1:54:46,2:12:47,,,2:21:37,,,,,,
10,,,,,,,,,,0:15:47,0:31:21,0:47:08,1:03:14,1:06:47,1:19:17,1:35:09,1:53:10,2:11:48,,,2:22:02,,,,,,
11,,,,,,,,,,0:15:46,0:31:20,0:47:07,1:03:14,1:06:45,1:19:15,1:35:16,1:54:39,2:14:23,,,2:22:21,,,,,,
12,,,,,,,,,,0:15:54,0:31:47,0:47:53,1:04:44,1:08:24,1:21:45,1:39:24,1:57:02,2:14:39,,,2:22:22,,,,,,
13,,,,,,,,,,0:15:46,0:31:20,0:47:06,1:03:13,1:06:45,1:19:15,1:35:08,1:53:44,2:14:33,,,2:24:44,,,,,,
14,,,,,,,,,,0:15:53,0:32:00,0:48:23,1:05:11,1:08:48,1:22:16,1:39:45,1:57:52,2:16:22,,,2:24:46,,,,,,
15,,,,,,,,,,0:15:46,0:31:20,0:47:08,1:03:14,1:06:47,1:20:06,1:37:44,1:57:06,2:16:29,,,2:24:54,,,,,,
16,,,,,,,,,,0:16:26,0:32:52,0:49:30,1:06:29,1:10:15,1:23:42,1:41:18,1:59:16,2:16:51,,,2:24:55,,,,,,
17,,,,,,,,,,0:15:47,0:31:22,0:47:08,1:03:15,1:06:47,1:19:38,1:37:40,1:57:07,2:17:06,,,2:25:31,,,,,,
18,,,,,,,,,,0:16:56,0:31:40,0:48:46,1:06:02,1:09:42,1:23:20,1:41:32,2:00:15,2:18:19,,,2:26:24,,,,,,
19,,,,,,,,,,0:15:47,0:31:21,0:47:08,1:03:14,1:06:47,1:19:41,1:37:25,1:57:39,2:17:51,,,2:27:02,,,,,,
20,,,,,,,,,,0:16:21,0:33:03,0:50:17,1:07:54,1:11:40,1:25:23,1:43:23,2:01:45,2:19:24,,,2:27:07,,,,,,
21,,,,,,,,,,0:16:21,0:32:51,0:49:30,1:06:50,1:10:45,1:24:23,1:42:36,2:01:10,2:19:33,,,2:27:41,,,,,,
22,,,,,,,,,,0:17:04,0:34:12,0:51:19,1:08:40,1:12:27,1:25:59,1:43:42,2:01:51,2:19:56,,,2:27:48,,,,,,
23,,,,,,,,,,0:16:46,0:33:39,0:50:56,1:08:18,1:12:02,1:25:34,1:43:37,2:02:00,2:19:59,,,2:27:53,,,,,,
24,,,,,,,,,,0:15:51,0:31:58,0:48:20,1:05:07,1:08:42,1:21:41,1:39:27,1:59:13,2:19:14,,,2:28:14,,,,,,
25,,,,,,,,,,0:17:12,0:34:19,0:51:26,1:08:48,1:12:34,1:26:06,1:43:49,2:02:04,2:20:27,,,2:28:26,,,,,,
26,,,,,,,,,,0:16:47,0:32:00,0:48:24,1:05:21,1:09:06,1:22:38,1:40:42,2:00:16,2:20:02,,,2:28:53,,,,,,
27,,,,,,,,,,0:17:25,0:34:39,0:51:51,1:09:05,1:12:46,1:26:10,1:44:21,2:03:06,2:21:07,,,2:29:09,,,,,,
29,,,,,,,,,,0:16:42,0:33:18,0:50:17,1:07:37,1:11:26,1:25:02,1:43:07,2:01:38,2:20:35,,,2:29:23,,,,,,
30,,,,,,,,,,0:17:16,0:34:40,0:52:21,1:10:05,1:13:54,1:27:36,1:45:22,2:03:28,2:21:20,,,2:29:32,,,,,,
31,,,,,,,,,,0:17:36,0:34:45,0:52:06,1:09:31,1:13:15,1:26:48,1:44:43,2:03:13,2:21:26,,,2:29:51,,,,,,
